N	QAccuracy	QLoss	CAccuracy	CLoss	Fidelity
1.000000000000000000e+00	3.086458444595336914e-01	2.588681936264038086e+00	1.661458313465118408e-01	3.007436990737915039e+00	6.872060894966125488e-01
2.000000000000000000e+00	5.646874904632568359e-01	1.766792178153991699e+00	3.602083325386047363e-01	2.458288431167602539e+00	8.351755142211914062e-01
3.000000000000000000e+00	6.727083325386047363e-01	1.317419767379760742e+00	4.779166579246520996e-01	2.018731117248535156e+00	8.818432688713073730e-01
4.000000000000000000e+00	7.350000143051147461e-01	1.065031290054321289e+00	5.674999952316284180e-01	1.672186970710754395e+00	9.051403999328613281e-01
5.000000000000000000e+00	7.754166722297668457e-01	9.018039107322692871e-01	6.453124880790710449e-01	1.401187062263488770e+00	9.191445112228393555e-01
6.000000000000000000e+00	8.020833134651184082e-01	7.874299883842468262e-01	6.941666603088378906e-01	1.187883377075195312e+00	9.293837547302246094e-01
7.000000000000000000e+00	8.222916722297668457e-01	6.999636292457580566e-01	7.458333373069763184e-01	1.005228042602539062e+00	9.394897222518920898e-01
8.000000000000000000e+00	8.415625095367431641e-01	6.277320981025695801e-01	7.794791460037231445e-01	8.756820559501647949e-01	9.468966722488403320e-01
9.000000000000000000e+00	8.601041436195373535e-01	5.680183172225952148e-01	8.092708587646484375e-01	7.705234885215759277e-01	9.567497968673706055e-01
1.000000000000000000e+01	8.755208253860473633e-01	5.189352035522460938e-01	8.309375047683715820e-01	6.900121569633483887e-01	9.606329202651977539e-01
1.100000000000000000e+01	8.870833516120910645e-01	4.767416417598724365e-01	8.496875166893005371e-01	6.240767836570739746e-01	9.669890403747558594e-01
1.200000000000000000e+01	8.974999785423278809e-01	4.378895163536071777e-01	8.612499833106994629e-01	5.672373175621032715e-01	9.698202610015869141e-01
1.300000000000000000e+01	9.049999713897705078e-01	4.081782996654510498e-01	8.728125095367431641e-01	5.204706192016601562e-01	9.722815155982971191e-01
1.400000000000000000e+01	9.118750095367431641e-01	3.788726031780242920e-01	8.861458301544189453e-01	4.819414317607879639e-01	9.752840995788574219e-01
1.500000000000000000e+01	9.180208444595336914e-01	3.543817400932312012e-01	8.923958539962768555e-01	4.495218992233276367e-01	9.774951338768005371e-01
1.600000000000000000e+01	9.278125166893005371e-01	3.283018171787261963e-01	9.013541936874389648e-01	4.186692535877227783e-01	9.794157743453979492e-01
1.700000000000000000e+01	9.296875000000000000e-01	3.076183199882507324e-01	9.079166650772094727e-01	3.891091644763946533e-01	9.799922704696655273e-01
1.800000000000000000e+01	9.348958134651184082e-01	2.890951037406921387e-01	9.118750095367431641e-01	3.630461096763610840e-01	9.825391769409179688e-01
1.900000000000000000e+01	9.389583468437194824e-01	2.724680304527282715e-01	9.194791913032531738e-01	3.399859070777893066e-01	9.836101531982421875e-01
2.000000000000000000e+01	9.415624737739562988e-01	2.576545476913452148e-01	9.252083301544189453e-01	3.187154531478881836e-01	9.843208789825439453e-01
2.100000000000000000e+01	9.482291936874389648e-01	2.396094501018524170e-01	9.262499809265136719e-01	3.032948672771453857e-01	9.857097268104553223e-01
2.200000000000000000e+01	9.481250047683715820e-01	2.284557372331619263e-01	9.315624833106994629e-01	2.843860983848571777e-01	9.860814213752746582e-01
2.300000000000000000e+01	9.537500143051147461e-01	2.141267359256744385e-01	9.373958110809326172e-01	2.664672136306762695e-01	9.873567819595336914e-01
2.400000000000000000e+01	9.548958539962768555e-01	2.039731293916702271e-01	9.383333325386047363e-01	2.549214959144592285e-01	9.883391261100769043e-01
2.500000000000000000e+01	9.577083587646484375e-01	1.920363008975982666e-01	9.466666579246520996e-01	2.376577556133270264e-01	9.889035224914550781e-01
2.600000000000000000e+01	9.617708325386047363e-01	1.813040822744369507e-01	9.470833539962768555e-01	2.262923121452331543e-01	9.898565411567687988e-01
2.700000000000000000e+01	9.635416865348815918e-01	1.717137098312377930e-01	9.503124952316284180e-01	2.135843932628631592e-01	9.909218549728393555e-01
2.800000000000000000e+01	9.651041626930236816e-01	1.630946844816207886e-01	9.518749713897705078e-01	2.027844190597534180e-01	9.910530447959899902e-01
2.900000000000000000e+01	9.673958420753479004e-01	1.561978757381439209e-01	9.568750262260437012e-01	1.903299391269683838e-01	9.917368292808532715e-01
3.000000000000000000e+01	9.685416817665100098e-01	1.462694853544235229e-01	9.585416913032531738e-01	1.820913255214691162e-01	9.921612739562988281e-01
3.100000000000000000e+01	9.709374904632568359e-01	1.401489526033401489e-01	9.624999761581420898e-01	1.711649298667907715e-01	9.924040436744689941e-01
3.200000000000000000e+01	9.735416769981384277e-01	1.322889626026153564e-01	9.605208039283752441e-01	1.663818806409835815e-01	9.928241968154907227e-01
3.300000000000000000e+01	9.740625023841857910e-01	1.256391555070877075e-01	9.643750190734863281e-01	1.553631424903869629e-01	9.936707615852355957e-01
3.400000000000000000e+01	9.748958349227905273e-01	1.197020485997200012e-01	9.691666960716247559e-01	1.455795317888259888e-01	9.939680695533752441e-01
3.500000000000000000e+01	9.761458039283752441e-01	1.155081465840339661e-01	9.697916507720947266e-01	1.395223885774612427e-01	9.939702153205871582e-01
3.600000000000000000e+01	9.764583110809326172e-01	1.108220890164375305e-01	9.679166674613952637e-01	1.372105479240417480e-01	9.944914579391479492e-01
3.700000000000000000e+01	9.793750047683715820e-01	1.032674387097358704e-01	9.711458086967468262e-01	1.291027665138244629e-01	9.943519234657287598e-01
